 Короткий заголовок,Длинный заголовок,Уникальный (Да\Нет),Код анализа,Биоматериал,Цена,Инструкция для врача,Описание для пациентов,Инструкция для пациентов,Описание для врачей,Категорий анализов (с подкатегорием),Артикул анализа,Сроки анализов
Холестерин,Холестерин общий - капиллярная кровь ,нет,1,капиллярная кровь,2000,"Показания к назначению
• Диагностика гиперхолестеринемии;
• Оценка риска атеросклеротического поражения коронарных сосудов и ишемической болезни сердца (ИБС);
• Заболевания печени;
• Эндокринная патология.
Интерферирующие факторы
Повышают:
Аскорбиновая кислота, Амиодарон, Андрогены, Аспирин, катехоламины, антибиотики, Бета-блокаторы, Карбамазепин, Циклоспорин, глюкокортикостероиды, Ибупрофен, Витамин D, мочегонные средства (малый эффект), Эргокальциферол (высокие дозы).

Снижают:
Аминосалициловая кислота, Аспарагиназа, Холестирамин, Эстрогены, Клофибрат, ингибиторы 3-гидрокси-3 метилглютарил-КоА-редуктазы (Ловастатин, Правастатин, Симвастатин), Интерферон, Никотиновая кислота, Неомицин, Тироксин, коэнзим Q10.","Холестерин (ХС) - вторичный одноатомный циклический спирт, нерастворимый в воде и поэтому транспортируется плазмой крови в связанном с растворимыми белками (липопротеинами) виде. Когда в лаборатории определяют ХС, то под этим следует понимать общий холестерин или холестерин, содержащийся в ЛПНП и ЛПВП.
Холестерин, содержащийся в липопротеидах, используется для биосинтеза жирных кислот, стероидных гормонов, витамина D, образования клеточных мембран. Исследование уровня холестерина в сыворотке не дает точной диагностической информации о конкретном заболевании,а лишь отражает патологию обмена липидов в организме.
В настоящее время установлена четкая зависимость между уровнем общего холестерина в крови и смертностью от сердечно-сосудистых заболеваний,то есть повышение его уровня сопровождается ростом смертности среди мужчин и женщин. Причины, приводящие к повышению уровня ХС в крови, разделяют на первичные - генетически обусловленные и вторичные - проявление другого патологического процесса (сахарный диабет, заболевания печени и почек).","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду). Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
гиперлипопротеинемия типа I, IIA, IIБ, III, IV и V, полигенная гиперхолестеринемия, семейная комбинированная гиперлипидемия, первичная экзогенная гипертриглицеридемия, заболевания печени, внутри- и внепеченочный холестаз, злокачественные опухоли поджелудочной железы и простаты, гломерулонефрит, гипотиреоз, нефротический синдром, ХПН, острый инфаркт миокарда, ИБС, гипертоническая болезнь, изолированный дефицит соматотропного гормона, сахарный диабет, подагра, гликогенозы I, III и VI типов, большая талассемия, анальбуминемия, дисглобулинемия, невротическая анорексия, идиопатическая гиперкальциемия, острая перемежающаяся порфирия, синдром Вернера, алкоголизм.
Причины отклонения показателей от нормы (сниженные значения)
дефицит альфа-липопротеинов (болезнь Танжера), гипо- и абеталипопротеинемия, цирроз печени, злокачественные опухоли печени, гипертиреоз, синдром мальабсорбции, недостаточность питания, сидеробластная анемия, талассемия, хронические обструктивные заболевания легких, умственная отсталость, ревматоидный артрит, лимфангиэктазия кишечника, мегалобластная анемия.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Холестерин,Холестерин общий,нет,1,сыворотка крови,2000,"Показания к назначению
Диагностика гиперхолестеринемии,
Оценка риска атеросклеротического поражения коронарных сосудов и ишемической болезни сердца (ИБС),
Заболевания печени,
Эндокринная патология.
Интерферирующие факторы
Повышают:
Аскорбиновая кислота, Амиодарон, Андрогены, Аспирин, катехоламины, антибиотики, Бета-блокаторы, Карбамазепин, Циклоспорин, глюкокортикостероиды, Ибупрофен, Витамин D, мочегонные средства (малый эффект), Эргокальциферол (высокие дозы).

Снижают:
Аминосалициловая кислота, Аспарагиназа, Холестирамин, Эстрогены, Клофибрат, ингибиторы 3-гидрокси-3 метилглютарил-КоА-редуктазы (Ловастатин, Правастатин, Симвастатин), Интерферон, Никотиновая кислота, Неомицин, Тироксин, коэнзим Q10.","Холестерин (ХС) - вторичный одноатомный циклический спирт, нерастворимый в воде и поэтому транспортируется плазмой крови в связанном с растворимыми белками (липопротеинами) виде. Когда в лаборатории определяют ХС, то под этим следует понимать общий холестерин или холестерин, содержащийся в ЛПНП и ЛПВП.
Холестерин, содержащийся в липопротеидах, используется для биосинтеза жирных кислот, стероидных гормонов, витамина D, образования клеточных мембран. Исследование уровня холестерина в сыворотке не дает точной диагностической информации о конкретном заболевании,а лишь отражает патологию обмена липидов в организме.
В настоящее время установлена четкая зависимость между уровнем общего холестерина в крови и смертностью от сердечно-сосудистых заболеваний,то есть повышение его уровня сопровождается ростом смертности среди мужчин и женщин. Причины, приводящие к повышению уровня ХС в крови, разделяют на первичные - генетически обусловленные и вторичные - проявление другого патологического процесса (сахарный диабет, заболевания печени и почек).","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
гиперлипопротеинемия типа I, IIA, IIБ, III, IV и V, полигенная гиперхолестеринемия, семейная комбинированная гиперлипидемия, первичная экзогенная гипертриглицеридемия, заболевания печени, внутри- и внепеченочный холестаз, злокачественные опухоли поджелудочной железы и простаты, гломерулонефрит, гипотиреоз, нефротический синдром, ХПН, острый инфаркт миокарда, ИБС, гипертоническая болезнь, изолированный дефицит соматотропного гормона, сахарный диабет, подагра, гликогенозы I, III и VI типов, большая талассемия, анальбуминемия, дисглобулинемия, невротическая анорексия, идиопатическая гиперкальциемия, острая перемежающаяся порфирия, синдром Вернера, алкоголизм.
Причины отклонения показателей от нормы (сниженные значения)
дефицит альфа-липопротеинов (болезнь Танжера), гипо- и абеталипопротеинемия, цирроз печени, злокачественные опухоли печени, гипертиреоз, синдром мальабсорбции, недостаточность питания, сидеробластная анемия, талассемия, хронические обструктивные заболевания легких, умственная отсталость, ревматоидный артрит, лимфангиэктазия кишечника, мегалобластная анемия.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Триглицериды,Триглицериды - капиллярная кровь ,нет,1,капиллярная кровь,2000,"Показания к назначению
• Диагностика гипертриглицеридемии;
• Оценка риска атеросклеротического поражения коронарных сосудов и ишемической болезни сердца (ИБС);
• Нарушения жирового обмена.
Интерферирующие факторы
Повышают:
Бета-блокаторы, катехоламины, кортикостероиды, Циклоспорин, Диазепам, диуретики, Эстрогены, Этанол, Интерферон, Ретинол, Миконазол.                                                                                                      

Снижают:
Аскорбиновая кислота, Аминосалициловая кислота, Аспарагиназа, Клофибрат, Гепарин, рыбий жир, Празозин.","Триглицериды (ТГ) или нейтральные жиры - сложные эфиры трехатомного спирта глицерина и высших жирных кислот.
ТГ поступают в организм с пищей (экзогенные ТГ) и синтезируются в организме (эндогенные ТГ). Последние образуются в печени, главным образом, из углеводов. ТГ являются главной формой накопления жирных кислот в организме и основным источником энергии у людей.
Уровень триглицеридов в крови вместе с уровнем холестерина являются наиболее важными показателями состояния липидного обмена у больных. Они дают важную информацию для дальнейшей тактики диагностики нарушений липидного обмена, решения вопроса о госпитализации, выбора метода лечения и оценки его эффективности.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду). Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
гиперлипопротеинемия I, IIБ, III, IV и V типов, вирусный гепатит, алкоголизм, алкогольный цирроз, билиарный цирроз, внепеченочная обтурация желчных путей, острый и хронический панкреатит, хроническая почечная недостаточность, гипертоническая болезнь, острый инфаркт миокарда, беременность, хроническая ИБС, тромбоз сосудов мозга, гипотиреоз, сахарный диабет, подагра, гликогеноз I, III и VI типов, респираторный дистресс-синдром, большая талассемия, синдромы Дауна, Вернера, невротическая анорексия, идиопатическая гиперкальциемия, острая перемежающаяся порфирия.
Причины отклонения показателей от нормы (сниженные значения)
альфабеталипопротеинемия, хронические обструктивные заболевания легких, инфаркт мозга, гипертиреоз, гиперпаратиреоз, лактозурия, недостаточность питания, синдром мальабсорбции, поражения паренхимы печени (терминальная стадия).",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Триглицериды ,Триглицериды ,нет,1,сыворотка крови,2000,"Показания к назначению
Диагностика гипертриглицеридемии,
Оценка риска атеросклеротического поражения коронарных сосудов и ишемической болезни сердца (ИБС),
Нарушения жирового обмена.
Интерферирующие факторы
Повышают:
Бета-блокаторы, катехоламины, кортикостероиды, Циклоспорин, Диазепам, диуретики, Эстрогены, Этанол, Интерферон, Ретинол, Миконазол.                                                                                                      

Снижают:
Аскорбиновая кислота, Аминосалициловая кислота, Аспарагиназа, Клофибрат, Гепарин, рыбий жир, Празозин.","Триглицериды (ТГ) или нейтральные жиры - сложные эфиры трехатомного спирта глицерина и высших жирных кислот.
ТГ поступают в организм с пищей (экзогенные ТГ) и синтезируются в организме (эндогенные ТГ). Последние образуются в печени, главным образом, из углеводов. ТГ являются главной формой накопления жирных кислот в организме и основным источником энергии у людей.
Уровень триглицеридов в крови вместе с уровнем холестерина являются наиболее важными показателями состояния липидного обмена у больных. Они дают важную информацию для дальнейшей тактики диагностики нарушений липидного обмена, решения вопроса о госпитализации, выбора метода лечения и оценки его эффективности.","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
гиперлипопротеинемия I, IIБ, III, IV и V типов, вирусный гепатит, алкоголизм, алкогольный цирроз, билиарный цирроз, внепеченочная обтурация желчных путей, острый и хронический панкреатит, хроническая почечная недостаточность, гипертоническая болезнь, острый инфаркт миокарда, беременность, хроническая ИБС, тромбоз сосудов мозга, гипотиреоз, сахарный диабет, подагра, гликогеноз I, III и VI типов, респираторный дистресс-синдром, большая талассемия, синдромы Дауна, Вернера, невротическая анорексия, идиопатическая гиперкальциемия, острая перемежающаяся порфирия.
Причины отклонения показателей от нормы (сниженные значения)
альфабеталипопротеинемия, хронические обструктивные заболевания легких, инфаркт мозга, гипертиреоз, гиперпаратиреоз, лактозурия, недостаточность питания, синдром мальабсорбции, поражения паренхимы печени (терминальная стадия).",биохимическое исследование крови (обмен липидов),123,1 рабочий день
ЛПВП,Липопротеины высокой плотности (ЛПВП) ,нет,1,сыворотка крови,2000,"Показания к назначению
Атеросклероз,
Ишемическая болезнь сердца,
Заболевания печени,
Сахарный диабет.
Интерферирующие факторы
Повышают:
Циклофенил, оральные контрацептивы, Эстрогены, производные фиброевой кислоты (Клофибрат, Гемфиброзил), Ловастатин, Правастатин, Симвастатин, Никотиновая кислота, Фенобарбитал, Каптоприл, Карбамазепин, коэнзим Q10, Фуросемид, Нифедипин, Верапамил.                                                                                                                          

Снижают:
Андрогены, Бета-блокаторы (особенно некардиоселективные), Циклоспорин, диуретики, Интерферон, Интерлейкин, Тиазиды.","Липопротеины высокой плотности (ЛПВП) в отличие от других липопротеинов осуществляют транспортировку холестерина от клеток периферических органов в печень, где холестерин переводится в желчные кислоты и выводится из организма. Это характерно и для сердечной мышцы с ее сосудами,и для других органов.
ЛПВП играют защитную роль в отношении развития атеросклероза и ИБС. Помимо удаления избытка холестерина из стенки сосудов ЛПВП участвуют в процессе созревания нервных синапсов, а также в регуляции синтеза бета-амилоида - основного компонента белковых бляшек, содержащихся в мозге пациентов с болезнью Альцгеймера, влияют на состояние памяти посредством своих противовоспалительных и антиоксидантных эффектов.
Эпидемиологические исследования показали обратную зависимость между уровнями холестерина ЛПВП и распространенностью ИБС. Чем ниже уровень холестерина ЛПВП, тем выше риск развития ИБС, и наоборот. Повышенный уровень холестерина оценивается ЛПВП расценивается как антиатерогенный фактор.","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
наследственная гиперальфалипопротеинемия, первичный билиарный цирроз печени, хронический гепатит, алкоголизм.
Причины отклонения показателей от нормы (сниженные значения)
абеталипопротеинемия,гипертриглицеридемия, декомпенсированный сахарный диабет, раннее поражение коронарных артерий, холестаз, нефротический синдром, хроническая почечная недостаточность.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Липопротеин (a),Липопротеин (a),нет,1,сыворотка крови,5000,"Показания к назначению
Ранняя диагностика ишемической болезни сердца,
Назначение гиполипидемической терапии,
Неэффективность гиполипидемической терапии.
Интерферирующие факторы
Повышают:
Бифосфонаты, Эстрогены, Станозолол, Ниацин, Неомицин, N-ацетилцистеин, омега-3-жирные кислоты.","Липопротеин (а) образуется в печени. По липидному составу не отличается от ЛПНП, но белка в нем больше (связан с белком апо-В и апопротеином (а)).
Современные методы определения ЛП(а) сводятся к выявлению белка - апо(а). Уровень липопротеина (а) в крови возрастает после хирургических вмешательств, у больных с онкологическими заболеваниями, при диабете, острой фазе ревматизма.
При перечисленных заболеваниях липопротеин (а) ведет себя как белок острой фазы. Сходство строения апо(а) и белков острой фазы позволяет рассматривать его как специфический белок острой фазы при деструктивных атеросклеротических процессах в сосудистой стенке.
Определение липопротеина (а) проводят для оценки активности атеросклеротического процесса. Его содержание в крови коррелирует с площадью атероматозного поражения аорты, уровнем гипергликемии, временем свертывания крови и маркерами недостаточности экскреторной функции почек. Гипертензия при атеросклерозе часто сочетается с повышением в крови уровня липопротеина (а).
Уровень ЛП(а) в крови генетически детерминирован, и в настоящее время нет лекарственных средств, снижающих его содержание. Единственной стратегией лечения является устранение всех прочих факторов риска ИБС - курение, избыточный вес, гипертензия, высокий уровень ЛПНП.","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение концентрации липопротеина (а) наблюдается при ранней патологии коронарных сосудов, злокачественных новообразованиях, сахарном диабете, острой фазе ревматизма, гипотиреозе, нефротическом синдроме, интенсивных физических упражнениях.
Причины отклонения показателей от нормы (сниженные значения)
Снижение концентрации липопротеина (а) -- применение эстрогенов, тамоксифена, станозолола, ниацина, неомицина, N-ацилцистеина, омега-3-жирных кислот (рыбий жир), у строгих вегетарианцев.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Аполипопротеин А1,Аполипопротеин А1,нет,1,сыворотка крови,3000,"Показания к назначению
Ранняя оценка степени риска ишемической болезни сердца,
Выявление пациентов с наследственной предрасположенностью к атеросклерозу в относительно молодом возрасте,
Мониторирование лечения препаратами, снижающими уровень холестерина.
Интерферирующие факторы
Повышают:
Амиодарон, Атенолол, Циклоспорин, Эстрогены, Фуросемид, Метопролол, Фенобарбитал, радиоактивный йод, анаболические стероиды и др.                                                                                                                                        

Снижают:
Каптоприл, Индометацин, Интерферон, Симвастатин, Ловастатин, Правастатин, диуретики, Глюкокортикоиды, Циклоспорин, стероиды и т.д.","Апопротеины - белки, транспортирующие липопротеины из клеток в печень и обратно.
Липопротеины - частицы сферической формы, оболочка которых состоит из фосфолипидов, а внутри содержатся транспортируемый эфир холестерина и триглицериды. Аполипопротеин А1 (апо-А1) - белок, входящий в состав липопротеидов высокой плотности (ЛПВП).
Аполипопротеин А1 участвует в транспортировке триглицеридов и холестерина, активирует лецитин-холестерин-ацетилтрансферазу, способствуя обратной транспортировке холестерина с периферии (в том числе из стенки сосудов) в печень, тем самым препятствуя развитию атеросклероза.
В связи с тем, что апо-А1 является основным апопротеином ЛПВП, определение его концентрации уточняет степень риска развития ИБС у пациента. Определение только апо-А1 дает недостаточно информации для оценки нарушения обмена липопротеидов, поэтому целесообразно одновременно с апо-А1 определять и апо-В1, и рассчитывать отношение апо-В1 к апо-А1. В норме это отношение меньше 1.","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
семейной гиперальфалипопротеинемии, беременности, лечении эстрогенами, злоупотреблении алкоголем, физической нагрузке.
Причины отклонения показателей от нормы (сниженные значения)
при болезни Танжера, фамильной гипоальфалипопротеинемии, сахарном диабете 1-ого типа, холестазе, гемодиализе, инфекционных заболеваниях.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Аполипопротеин В,Аполипопротеин В,нет,1,сыворотка крови,3500,"Показания к назначению
Оценка риска развития атеросклероза,
Выявление пациентов с гиперлипопротеидемиями,
Мониторирование лечения препаратами, снижающими уровень холестерина.
Интерферирующие факторы
Повышают:
Амиодарон, Атенолол, Циклоспорин, Эстрогены, Фуросемид, Метопролол, Фенобарбитал, радиоактивный йод, анаболические стероиды и др.                                                                                                                                

Снижают: Каптоприл, Индометацин, Интерферон, Симвастатин, Ловастатин, Правастатин и т.д.","Апопротеины - белки, транспортирующие липопротеины из клеток в печень и обратно.
Липопротеины - частицы сферической формы, оболочка которых состоит из фосфолипидов, а внутри содержатся транспортируемый эфир холестерина и триглицериды: апопротеины расположены на их поверхности. Аполипопротеин В (апо-В) - главный белковый компонент всех липопротеинов, кроме липопротеидов высокой плотности, его основная функция - транспорт триглицеридов из кишечника в жировые клетки.
В настоящее время определение уровня апо-В рассматривается как один из наиболее надежных маркеров уже имеющегося или развивающегося атеросклероза. С учетом того, что аполипопротеин В является основным апопротеином липопротеинов низкой и очень низкой плотности (ЛПНП и ЛПОНП), которые способствуют проникновению холестерина в сосудистую стенку, определение его концентрации уточняет степень риска развития ИБС у пациента.","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
при семейной гиперапобеталипопротеинемии, нефротическом синдроме, беременности, билиарной обструкции, гемодиализе, курении.
Причины отклонения показателей от нормы (сниженные значения)
при гипо- и абеталипопротеинемии, дислипопротеинемии I типа, заболеваниях печени, занятиях спортом.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
ЛПНП,"Липопротеины низкой плотности (ЛПНП,LDL-direct)",нет,1,сыворотка крови,3500,"Показания к назначению
Атеросклероз и связанные заболевания сердечно-сосудистой системы: ишемической болезни сердца, инфаркта миокарда (оценка риска, диагностика, прогнозирование), болезни печени.
Интерферирующие факторы
Повышают:
Анаболические стероиды, Бета-блокаторы, антигипертензивные средства.                                                                                    

Снижают: пероральные Эстрогены.","Холестерин или холестерол - органическое соединение, важнейший компонент жирового обмена. Холестерин в крови содержится в следующих формах: общий холестерин, холестерин липопротеинов низкой плотности (ЛПНП), холестерин липопротеидов высокой плотности (ЛПВП)
Холестерин ЛПНП — это основная транспортная форма общего холестерина. Он переносит общий холестерин в ткани и органы. При развитии сосудистых заболеваний именно холестерин ЛПНП — источник накопления холестерина в стенках сосудов. Определение холестерина ЛПНП проводят для того, чтобы выявить повышение холестерина в крови. Риск развития атеросклероза и ишемической болезни сердца более тесно связан с холестерином ЛПНП, чем с общим холестерином. В условиях патологии ЛПНП захватываются клетками в стенках сосудов с образованием атеросклеротических бляшек, которые сужают просвет сосудов и способствуют тромбообразованию.","Подготовка к исследованию
Взятие крови производится натощак. Между последним приемом пищи и взятием крови должно пройти не менее 8 часов (желательно - не менее 12 часов). Сок, чай, кофе - не допускаются. Можно пить воду. Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышенный уровень ЛПНП-холестерола (более 3,37 ммоль/л) рассматривается как фактор риска развития атеросклероза, а уровень > 4,14 ммоль/л можно расценивать как высокую степень риска развития атеросклероза и ишемической болезни сердца. Он может быть связан с ожирением, обтурационной желтухой, нефротическим синдромом, хронической почечной недостаточностью, сахарным диабетом, гипотиреозом, синдромом Кушинга, богатой холестерином диете, беременностью, нервной анорексией, приёмом лекарственных средств, таких как бета-блокаторы, диуретики, прогестины, оральные контрацептивы, глюкокортикоиды, андрогены.
Причины отклонения показателей от нормы (сниженные значения)
гипо- и а-бета-липопротеинемия;дефицит альфа-липопротеина (болезнь Танжера);дефицит ЛХАТ (лецитинхолестеролацилсинетатазы);гипертиреоз;
синдром Рейе;хронические анемии;острый стресс;
приём лекарственных препаратов: холестирамин, клофибрат, ловастатин, неомицин, интерферон, тироксин, эстрогены;
бедная насыщенными жирами и холестерином, богатая полиненасыщенными жирными кислотами диета;
синдром мальабсорбции;артриты;хронические заболевания лёгких;миеломная болезнь.",биохимическое исследование крови (обмен липидов),123,1 рабочий день
Электрофорез липидов,Электрофорез липидов с расчетом триглицеридов,нет,1,сыворотка крови,25000,"Показания к назначению
• диагностика атеросклероза и контроль эффективности проводимого лечения;
• контроль показателей липидного обмена у людей с избыточным весом;
• ежегодное профилактическое обследование у людей старше 40 лет.","Липопопротеины (ЛП)-это макромолекулярные комплексы, которые переносят плохо растворимые липиды (триглицериды, холестерин и жирорастворимые витамины). Тест разработан для диагностики первичных и вторичных гиперлипидемий, а также мониторинга гиполипидемической терапии. Метод электрофореза со специфическими окрасками триглицеридов . Сопровождается развёрнутым комментарием.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Для каждого показателя существуют свои референсные значения. Повышенная концентрация триглицеридов в сыворотке крови свидетельствует о генетических нарушениях, присутствует у пациентов с диабетом, нефротическим синдромом, гипотиреозом. Измерение триглицеридов в основных фракциях липопротеинов позволяет оценить риски атеросклероза и вызванных им осложнений в работе сердечно-сосудистой системы.",биохимическое исследование крови (обмен липидов),123,9 рабочих дней
